start_time,end_time,wav_file,emotion,val,act,dom,text
81.59,86.03,Ses01F_impro01_M010,fru,2,4.5,4,"Yeah.  We keep it on file, but we need an ID to access that file."
87.15,94.39,Ses01F_impro01_M011,ang,2,4,4,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.
95.86,98.68,Ses01F_impro01_M012,xxx,3,1.5,2,Actually too long.
101.84,107.87,Ses01F_impro01_M013,ang,2,4.5,4.5,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.
7.2688,16.6,Ses01F_impro02_F000,sad,2.5,2,1.5,Did you get the mail? So you saw my letter?
19.85,22.78,Ses01F_impro02_F001,sad,2,1.5,1.5,Yeah.  I know.
26.5659,32.2895,Ses01F_impro02_F002,sad,2,1.5,1.5,I don't know.  I put in that. request too. They didn't...
32.3075,37.96,Ses01F_impro02_F003,neu,2,2,2,"I guess, you know, everybody has to make sacrifices."
47.34,53.11,Ses01F_impro02_F004,sad,2.5,2,2.5,"There's people that have given more though, you know?"
58.75,61.31,Ses01F_impro02_F005,sad,2,2,2.5,I know.
64.255,68.47,Ses01F_impro02_F006,neu,2.5,2.5,2.5,"There's babies over there, though, that need mothers."
72.39,78.57,Ses01F_impro02_F007,xxx,2,3.5,3,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix."
87.2031,91.09,Ses01F_impro02_F008,sad,1.5,2,1.5,"Just, you know, kicking myself."
91.55,95.88,Ses01F_impro02_F009,xxx,1.5,1.5,2,like you sign up because you need money and
97.94,102.19,Ses01F_impro02_F010,sad,2,1.5,2,things just aren't what they seem.
107.68,111.0153,Ses01F_impro02_F011,xxx,2.5,2.5,2.5,"We're doing the right thing, though."
117.83,120.8605,Ses01F_impro02_F012,sad,3.5,2,1.5,"If not me then, who?"
127.82,133.9455,Ses01F_impro02_F013,sad,1.5,2,2,"You'll videotape everything, yeah?"
139.03,146.43,Ses01F_impro02_F014,sad,1.5,2,2,"Maybe you can send it to me, like stream it, yeah?"
151.4221,155.01,Ses01F_impro02_F015,sad,2,2.5,2.5,Last month--  Yeah.
163.54,165.73,Ses01F_impro02_F016,neu,2,1,2.5,I have to find sitters.
169.36,176.015,Ses01F_impro02_F017,sad,3.5,3,2.5,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street."
176.08,179.13,Ses01F_impro02_F018,neu,2.5,2.5,2.5,And your mother is close by.
182.83,185.8894,Ses01F_impro02_F019,sad,2.5,1.5,2,I'll send you lots of letters.
186.58,191.11,Ses01F_impro02_F020,sad,4,2,2.5,And I want lots and lots and lots of pictures.
17.6,20.6264,Ses01F_impro02_M000,xxx,2,2.5,2.5,It's not fair.
21.76,27.5558,Ses01F_impro02_M001,sad,2,2.5,2.5,"I don't understand.  You've already done so much, I don't know why do you have to go back."
38.85,45.09,Ses01F_impro02_M002,xxx,2.5,3,2.5,"I don't know, it's just not fair.  I think you've already made your sacrifice."
52.71,59.0534,Ses01F_impro02_M003,fru,2,3,3,I just don't see how they can make you leave when you have a new baby - we have a new kid.
61.75,65.055,Ses01F_impro02_M004,xxx,2,3,2,Then why is that fair?  Why--
69.34,74.29,Ses01F_impro02_M005,sad,2,3,1.5,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.
80.03,86.99,Ses01F_impro02_M006,xxx,2,3,1.5,I'm just trying to think of another way.  I'm just trying to...
103.27,107.1,Ses01F_impro02_M007,xxx,2,3,2.5,This is a stupid war.
110.5653,113.2,Ses01F_impro02_M008,fru,2.5,1.5,2,I know.
114.1775,117.85,Ses01F_impro02_M009,sad,2,1.5,2.5,I just don't see why it has to be you.
120.4105,124.63,Ses01F_impro02_M010,sad,2,2,1.5,What am I going to do? Huh?
133.88,137.1,Ses01F_impro02_M011,sad,2.5,1.5,2.5,Yeah.
147.03,151.7101,Ses01F_impro02_M012,neu,2.5,2,2,Don't you guys have access to computers over there.
157.98,162.71,Ses01F_impro02_M013,sad,1.5,2,2,I just don't know how I'm going to do it without you.
164.885,169.5,Ses01F_impro02_M014,sad,1.5,3,1.5,I can't raise a baby by myself.  How?
175.47,176.72,Ses01F_impro02_M015,neu,3,3,1.5,I know.
195.1047,199.52,Ses01F_impro02_M016,fru,2,1.5,2.5,It's just not fair.
4.88,7.74,Ses01F_impro03_F000,hap,4.3333,2.6667,2.6667,Well Vegas was awesome.
7.93,11.37,Ses01F_impro03_F001,hap,4,2.6667,2.6667,"And, um, I got married."
12.8,15.37,Ses01F_impro03_F002,hap,4.3333,3,2.3333,Yeah.  In the old town part.
15.87,20.4867,Ses01F_impro03_F003,xxx,5,4,3,Chuck. [LAUGHTER]
21.75,25.52,Ses01F_impro03_F004,hap,4.6667,3.6667,2.3333,Um- Yes.  It was very romantic.
25.5584,28.14,Ses01F_impro03_F005,hap,4.3333,4,2.3333,It was at the slot machines.
28.37,34.71,Ses01F_impro03_F006,hap,4,3.3333,2.6667,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride."
35.6349,40.1,Ses01F_impro03_F007,xxx,4,3.3333,2.3333,Hey.  Let's get married and I said okay.
40.12,42.79,Ses01F_impro03_F008,hap,4,3.3333,2.3333,"Yeah.  Well.  You know, because he's leaving the next day."
42.84,44.54,Ses01F_impro03_F009,hap,4,2.6667,2.3333,But we're going to have a honeymoon cruise.
47.87,51.075,Ses01F_impro03_F010,hap,4,3.3333,3,Oh.  I hadn't even thought about that.
51.36,53.4925,Ses01F_impro03_F011,xxx,4,3,2.3333,"He's not going to be a citizen, though."
55.865,58.15,Ses01F_impro03_F012,hap,4,3.6667,2.6667,Oh.  Totally.
60.73,65.86,Ses01F_impro03_F013,hap,5,4,3.3333,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER]
68.01,73.75,Ses01F_impro03_F014,xxx,4,3.3333,2.3333,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.
74.2675,78.8425,Ses01F_impro03_F015,exc,4.6667,3.6667,3,"Yeah, so [LAUGHTER] He's calling me now"
79.035,81.0875,Ses01F_impro03_F016,hap,4,3,2.3333,"He likes to keep tabs, you know."
82.0975,85.08,Ses01F_impro03_F017,neu,3.6667,2.6667,2.3333,"Uh, I think seven hundred and fifty dollars."
85.1,88.0225,Ses01F_impro03_F018,neu,3.6667,3,2,Penny slots. That's what he plays.
88.08,89.5,Ses01F_impro03_F019,neu,3.6667,2.3333,2,Yeah.
91.235,92.615,Ses01F_impro03_F020,xxx,3.6667,3,2.3333,Oh.
92.75,98.21,Ses01F_impro03_F021,hap,3.3333,3.6667,2.6667,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-
99.7775,102.03,Ses01F_impro03_F022,neu,3.3333,2.6667,2,Fifty bucks. Mmhmm.
102.62,103.4625,Ses01F_impro03_F023,neu,3,2.3333,2,Yeah.
103.78,108.1825,Ses01F_impro03_F024,hap,4.3333,3,2.6667,Well so now we're married. We have cat children.
110.23,114.16,Ses01F_impro03_F025,hap,4.3333,3.3333,3.3333,"We renamed Brenda, Lumber Janet."
114.19,120.2,Ses01F_impro03_F026,hap,4.6667,4,3,She needs a new name each state that we go into. [LAUGHTER]
3.24,5.46,Ses01F_impro03_M000,neu,4,3,2.6667,So what's up?  What's new?
6.6,8.66,Ses01F_impro03_M001,neu,4.3333,2.6667,2.3333,Yeah.  I heard.
10.53,13.84,Ses01F_impro03_M002,sur,4.3333,3.3333,2.6667,Shut up.  No- in Vegas?
14.93,18.9075,Ses01F_impro03_M003,exc,5,4.6667,3,Who did you marry?
20.2532,22.83,Ses01F_impro03_M004,xxx,4.6667,4,2.3333,Did you propose to you?
27.28,29.65,Ses01F_impro03_M005,xxx,4,3.3333,2.3333,Oh.  The Wheel of Fortune slots?
34.25,36.34,Ses01F_impro03_M006,neu,4,2.6667,2.3333,He turned to you and was like...
37.7175,40.47,Ses01F_impro03_M007,hap,4,3,2.3333,[LAUGHTER] That's really romantic.
42.09,43.41,Ses01F_impro03_M008,neu,4,2.6667,2,Yeah.
44.16,49.07,Ses01F_impro03_M009,neu,3.6667,2.3333,2.3333,"Does that mean that you're going to get citizenship, too, in- in England or whatever?"
49.61,52.43,Ses01F_impro03_M010,xxx,4,3.3333,3,Yeah.  Think about that.
52.92,56.85,Ses01F_impro03_M011,neu,3.6667,3.6667,2.6667,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?
57.46,61.375,Ses01F_impro03_M012,xxx,4.3333,3.6667,2.6667,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?"
65.6425,68.44,Ses01F_impro03_M013,hap,4.6667,4,3,Like you need another one of those.[LAUGHTER]
73.41,76.9975,Ses01F_impro03_M014,hap,4.3333,3.6667,2.6667,Is that your phone?
78.32,80.5,Ses01F_impro03_M015,hap,4,3,2.6667,He loves you.
80.7175,82.5225,Ses01F_impro03_M016,neu,3.6667,2.6667,2.6667,How much did he win at the slot?
84.6925,87.36,Ses01F_impro03_M017,sur,3.6667,3.6667,2.3333,Really? Penny slots?
87.6425,89.08,Ses01F_impro03_M018,sur,3,2.6667,2.6667,Wow.
89.12,93.91,Ses01F_impro03_M019,neu,3,3,2.3333,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.
97.03,101.65,Ses01F_impro03_M020,neu,3.3333,3,2.6667,"But the pennies always get you because you end up spending like, you know, fifty bucks."
101.67,104.35,Ses01F_impro03_M021,neu,3,3.3333,2.6667,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you."
105.29,106.95,Ses01F_impro03_M022,exc,4,3.3333,2.6667,Awesome.
107.71,111.4,Ses01F_impro03_M023,hap,4.6667,4.3333,3.6667,[LAUGHTER] Cat babies.
117.36,119.58,Ses01F_impro03_M024,neu,3.6667,2.6667,2.3333,That's fair enough.
7.2455,11.64,Ses01F_impro04_F000,neu,3,3,3,"Uh, what?  Craig's List?  Oh the internet thing?"
11.7448,16.15,Ses01F_impro04_F001,neu,2.5,2.5,3,I don't know.  Isn't that-- that's all like escort services and things like that.
18.6,30.8976,Ses01F_impro04_F002,fru,2.5,3.5,3,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board."
35.009,37.8,Ses01F_impro04_F003,xxx,2.5,3,2.5,What kind of a job?
40.23,41.95,Ses01F_impro04_F004,xxx,2.5,2.5,2,Really?
43.35,45.7596,Ses01F_impro04_F005,neu,3,2,2.5,He just...
46.2735,49.83,Ses01F_impro04_F006,neu,3,3.5,3.5,you know what?  I heard about that job.  I applied for that.
50.11,54.31,Ses01F_impro04_F007,fru,3,3.5,4,Yeah.  I saw a posting at the theatre.
54.37,55.67,Ses01F_impro04_F008,xxx,2,3.5,3.5,He got it?
58.71,60.0937,Ses01F_impro04_F009,neu,2.5,2.5,2.5,Yeah.
60.6771,66.5275,Ses01F_impro04_F010,xxx,2,3.5,3,What did he do?  What was so great?  I don't understand why they would pick him over me.
69.43,70.94,Ses01F_impro04_F011,xxx,2.5,3,3,A resume?
72.13,74.73,Ses01F_impro04_F012,xxx,2.5,2.5,4,No.
76.49,80.7269,Ses01F_impro04_F013,neu,3,3.5,3.5,I just- I mean I call people up and I tell them what I'm good at.
85.49,86.98,Ses01F_impro04_F014,neu,2.5,3,2.5,Yeah.
87.2203,93.33,Ses01F_impro04_F015,xxx,2,4,3.5,I don't like- I don't like sending things in the mail.  I don't want my information out there.
97.41,101.0475,Ses01F_impro04_F016,fru,2,4,3.5,I'm there in front of them.  I'm telling them what I'm good at.
102.78,105.415,Ses01F_impro04_F017,fru,2,4.5,4,Why?  It's a piece of paper.
106.17,111.86,Ses01F_impro04_F018,fru,2,4.5,3.5,"I just don't want this paper trail, you know.  I just don't want things following me around, like-."
114.92,122.31,Ses01F_impro04_F019,fru,3,3.5,3,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but..."
122.4,129.93,Ses01F_impro04_F020,xxx,2,3,3.5,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.
133.74,137.44,Ses01F_impro04_F021,fru,2,2,3,"That's baloney, that's baloney."
138.13,139.89,Ses01F_impro04_F022,fru,2,2,2.5,Please.
148.55,152.85,Ses01F_impro04_F023,fru,2,2.5,3,you think that you're better than me because I don't have a car?
153.18,155.2925,Ses01F_impro04_F024,fru,2.5,2.5,3.5,"You know, you're riding the bus, too."
157.1625,159.7,Ses01F_impro04_F025,fru,2.5,2.5,3,Why?  What choice?
161.0787,163.78,Ses01F_impro04_F026,fru,2.5,2,3.5,You're saving the environment. mmhmm
164.3925,167.565,Ses01F_impro04_F027,fru,2.5,2,3,Interesting.  That's fantastic.
170.83,172.84,Ses01F_impro04_F028,ang,2,3.5,3.5,I'm not frustrated.
175.27,178.43,Ses01F_impro04_F029,ang,1.5,4,4,Who do you think you are?
180.3025,183.4875,Ses01F_impro04_F030,ang,1.5,3.5,4,You are so high and mighty.  I just--
184.47,188.87,Ses01F_impro04_F031,ang,1.5,3,3.5,Oh.  I'm saving the environment. I'm riding this car because I- I want to.
189.12,192.02,Ses01F_impro04_F032,ang,2,3.5,3.5,"The bus, I'm riding the bus because I want to."
193.5875,199.4325,Ses01F_impro04_F033,ang,1.5,3.5,4.5,I can not-- you are not here by choice.  Nobody would ride this bus by choice.
2.7418,6.6575,Ses01F_impro04_M000,neu,3,2.5,2.5,"Have you tried, uh, Craig's List?"
10.46,12.13,Ses01F_impro04_M001,neu,3,2.5,2,Yeah.
15.64,18.9,Ses01F_impro04_M002,neu,3,2.5,3,No.  There's regular jobs on there.
26.91,28.71,Ses01F_impro04_M003,neu,3,2.5,2.5,Uh huh.
30.88,35.5225,Ses01F_impro04_M004,neu,3,3,3,I'm just saying I have a friend that got a good job on it so I was just recommending it.
37.19,40.53,Ses01F_impro04_M005,neu,3,3,3,He's like a manager for a theatre.
40.54,43.576,Ses01F_impro04_M006,neu,3,3.5,2.5,He's like a house manager. Yeah.  It's a good job.
49.39,50.58,Ses01F_impro04_M007,neu,3.5,3,2.5,You did?
55.21,56.33,Ses01F_impro04_M008,neu,3,3,2.5,Yeah.
56.35,59.0245,Ses01F_impro04_M009,neu,3,3,3,You've been looking for a job for a long time; that was a long time ago.  Right?
59.8,61.55,Ses01F_impro04_M010,neu,3,2.5,2,Hmm.
65.97,69.77,Ses01F_impro04_M011,neu,3,3,2.5,I don't know.  He had a really good resume I guess and--
70.38,72.7264,Ses01F_impro04_M012,neu,3,3,2.5,Yeah.  Do you have a resume?
73.7473,77.15,Ses01F_impro04_M013,neu,3,2,3,It's kind of helpful when getting a job.
80.1435,87.81,Ses01F_impro04_M014,neu,3.5,3.5,3.5,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.
92.37,99.27,Ses01F_impro04_M015,neu,2.5,3.5,3,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--"
100.485,103.47,Ses01F_impro04_M016,neu,3,2.5,2.5,"Yeah.  But the piece of paper helps, too."
104.97,107.78,Ses01F_impro04_M017,neu,3,3.5,3,"No.  But it has an outline, you know."
111.66,117.725,Ses01F_impro04_M018,neu,3,3.5,3,"I know.  Okay.  Well, um. Maybe--"
118.46,119.77,Ses01F_impro04_M019,neu,3,2.5,2.5,Yeah.
121.5,123.42,Ses01F_impro04_M020,neu,3,2.5,2.5,"Okay, yeah.  I would imagine."
129.43,139.16,Ses01F_impro04_M021,neu,3.5,3.5,3,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now."
139.5219,141.8225,Ses01F_impro04_M022,neu,3,2.5,2.5,maybe get a car.
144.9125,149.51,Ses01F_impro04_M023,neu,2.5,2.5,2,"I just, you know, think you should try a little harder maybe."
151.84,154.03,Ses01F_impro04_M024,neu,3,2.5,3,I didn't say that.
154.6,157.8,Ses01F_impro04_M025,neu,3,3.5,3.5,"I am riding the bus, but by choice."
158.95,161.35,Ses01F_impro04_M026,neu,3.5,3,3,"To save the environment, carpool."
162.12,164.7825,Ses01F_impro04_M027,neu,3.5,3.5,3.5,Yes.  One less car at a time.
165.47,166.71,Ses01F_impro04_M028,neu,3,2.5,2,Mmhmm.
167.05,171.43,Ses01F_impro04_M029,fru,2.5,3.5,3.5,"You know, you don't have to take out your frustration on me, you know, just because..."
171.75,175.26,Ses01F_impro04_M030,fru,2.5,2.5,3,...you can't get a job and refuse to have a resume.
178.0033,180.865,Ses01F_impro04_M031,neu,3,2.5,2.5,I don't think I'm anyone.
182.82,185.54,Ses01F_impro04_M032,neu,2.5,2,1.5,I- I-I didn't-- okay.
186.12,187.4625,Ses01F_impro04_M033,xxx,2.5,3.5,2,What?  No.
188.01,190.71,Ses01F_impro04_M034,fru,2.5,2,2,What? Oh.  So now you're...
191.28,195.13,Ses01F_impro04_M035,fru,2,3.5,3,you know what?  You don't have to take your anger and your hurt out on me.
200.215,202.0825,Ses01F_impro04_M036,xxx,2.5,3,3.5,Why not?
4.24,5.23,Ses01F_impro05_F000,fru,4,2,1.5,Hi.
5.26,7.16,Ses01F_impro05_F001,fru,2,2.5,2.5,Yeah. This is the fourth line that I have been in.
7.35,8.85,Ses01F_impro05_F002,fru,2.5,2.5,3.5,I need my bag.
9.2,13.02,Ses01F_impro05_F003,fru,2,3,3.5,"I flew in over three hours ago, I've been in four different lines."
13.04,22.74,Ses01F_impro05_F004,fru,2,3.5,3.5,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.
25.35,26.76,Ses01F_impro05_F005,fru,2.5,3,3,Nash.
28.24,29.91,Ses01F_impro05_F006,xxx,2.5,2.5,2.5,No G.
32.19,33.5,Ses01F_impro05_F007,fru,2.5,3,3.5,Yes.
33.78,35.9,Ses01F_impro05_F008,ang,2.5,2.5,3.5,Flight seven fourteen.
36.71,44.03,Ses01F_impro05_F009,ang,2.5,2.5,3.5,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?"
69.55,73.76,Ses01F_impro05_F010,xxx,2,4,3.5,"Oh, Are you kidding me?"
73.87,75.5375,Ses01F_impro05_F011,ang,2,4.5,3.5,Is this a joke?
75.61,80.73,Ses01F_impro05_F012,ang,2.5,3.5,3,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline."
82.75,86.06,Ses01F_impro05_F013,xxx,2,2.5,3,So you'll give me money and then I'll get my bag?
99.52,102.9,Ses01F_impro05_F014,ang,1.5,4,4,"You're kidding me, this is a joke."
103.005,118.5,Ses01F_impro05_F015,ang,1.5,4.5,4.5,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.
118.53,122.44,Ses01F_impro05_F016,ang,1.5,4.5,4,We flew in from Paris.  I've been shopping for three weeks.
127.485,136.85,Ses01F_impro05_F017,ang,1.5,5,4.5,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.
137.715,140.11,Ses01F_impro05_F018,ang,1.5,4,4,Do you understand who my husband is?
140.225,145.6,Ses01F_impro05_F019,ang,1.5,4,4.5,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it."
149.365,153.8,Ses01F_impro05_F020,ang,1.5,4.5,4.5,Oh-Oh.  It's a gift.  You're-You're helping me out here?
155.6,160.36,Ses01F_impro05_F021,ang,1.5,4.5,4.5,You are cruising for a bruising.  You are in so much trouble.
160.41,163.7975,Ses01F_impro05_F022,ang,1.5,4.5,4,Who's in charge?  Who is the president of Jet Blue?
163.88,165.8,Ses01F_impro05_F023,ang,2,3,4,Because I probably know him.
166.33,167.71,Ses01F_impro05_F024,ang,2,3,4,Yeah.
171.09,174.2,Ses01F_impro05_F025,ang,1.5,4.5,4.5,"I don't want money, I want my clothes."
177.6025,179.09,Ses01F_impro05_F026,ang,2,3.5,3.5,What's your name?
179.22,183.845,Ses01F_impro05_F027,xxx,2,2.5,4,Sean.  Great. Do you have a badge number or something?
188.78,190.8975,Ses01F_impro05_F028,ang,2,3,4,Okay.  I'll do that.
195.38,199.33,Ses01F_impro05_F029,ang,1.5,3,3.5,I don't think you have done everything you could do because I don't have my bag here yet.
202.86,206.17,Ses01F_impro05_F030,ang,2,3,3.5,A letter? I'll make a personal phone call.
3.61,5.19,Ses01F_impro05_M000,neu,4,2.5,2,Hi.  Thanks for waiting.
5.21,6.44,Ses01F_impro05_M001,hap,4,2.5,2,Can I help you?
6.6,7.71,Ses01F_impro05_M002,hap,4,2.5,2,Uh huh.
8.32,9.8,Ses01F_impro05_M003,neu,4,2.5,2,Okay.
12.26,13.78,Ses01F_impro05_M004,neu,3.5,1.5,2,Okay.
21.84,25.9,Ses01F_impro05_M005,neu,3.5,2.5,2,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.
25.99,27.7272,Ses01F_impro05_M006,neu,3.5,2.5,2,Okay.
28.29,34.1425,Ses01F_impro05_M007,neu,3.5,2.5,2,all right- okay.  And you lost your bag? Is that- that the issue?
34.7,36.52,Ses01F_impro05_M008,neu,3,2.5,2,Uh-huh.
36.91,42.76,Ses01F_impro05_M009,neu,2.5,2.5,2,"Yeah. Yeah, I don't see- I don't see any--"
43.86,49.97,Ses01F_impro05_M010,neu,2.5,2.5,2,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-"
49.97,70.26,Ses01F_impro05_M011,neu,2.5,2.5,2,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again..."
70.38,73.14,Ses01F_impro05_M012,neu,2.5,2,1.5,"for such an inconvenience and your bag, but"
73.55,74.99,Ses01F_impro05_M013,neu,2.5,2,1.5,Yeah.
75.03,76.48,Ses01F_impro05_M014,neu,2.5,2.5,1.5,"No, no."
80.22,83.2425,Ses01F_impro05_M015,neu,2.5,2,1.5,"No, no.  This is real."
85.72,93.9575,Ses01F_impro05_M016,neu,2.5,2.5,2,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because..."
94.005,100.4,Ses01F_impro05_M017,neu,2.5,2.5,2.5,this is the only track record that we have and if it's not listed here then it's probably not anywhere.
100.55,103.68,Ses01F_impro05_M018,xxx,3,3.5,2.5,"Once again, I'm really- I'm really sorry."
111.28,112.81,Ses01F_impro05_M019,neu,2.5,2,2,Yes.
118.04,119.37,Ses01F_impro05_M020,neu,2.5,2,2,I know.
121.19,129.23,Ses01F_impro05_M021,xxx,2.5,2.5,1.5,"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--"
131.02,133.25,Ses01F_impro05_M022,neu,2.5,2,2,Okay. Calm-
136.19,143.5,Ses01F_impro05_M023,neu,2.5,3.5,2.5,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really"
144.85,151.16,Ses01F_impro05_M024,neu,2.5,3,2.5,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that."
151.335,152.71,Ses01F_impro05_M025,neu,2.5,2.5,2,It's a gift.
152.8325,158.58,Ses01F_impro05_M026,neu,2.5,2.5,2.5,"You know, the airlines can not be held responsible for every bag of luggage that comes through here."
159.66,161.37,Ses01F_impro05_M027,neu,2.5,2.5,2,With the amount of--
163.25,166.99,Ses01F_impro05_M028,neu,2.5,2.5,2,"Um, actually, I don't know. I don't know. Oh really?"
167.15,173.63,Ses01F_impro05_M029,neu,2.5,2.5,2.5,Well then maybe you can just call him and he can give you more money.  But right now all I can do--
173.7325,178.2625,Ses01F_impro05_M030,neu,3,2.5,2,"Right now all I can do is just give you this fifty dollars, I'm really sorry."
178.59,180.87,Ses01F_impro05_M031,neu,3,2.5,2.5,Oh.  My name is Sean. Hi.
183.14,189.3875,Ses01F_impro05_M032,sur,3,2.5,2,"Badge number?  Uh, no.  You can just take my employee number I guess."
190.23,196.9,Ses01F_impro05_M033,sur,2.5,3,2,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.
198.66,205.17,Ses01F_impro05_M034,neu,2.5,2.5,2.5,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--"
205.63,211.94,Ses01F_impro05_M035,neu,2.5,2,1.5,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more..."
14.7939,18.17,Ses01F_impro06_F000,xxx,3.5,2,3,It's okay.
24.02,25.69,Ses01F_impro06_F001,xxx,2,2,2,"No, no, no."
26.07,27.65,Ses01F_impro06_F002,sad,2,1.5,2.5,No.
34.45,35.78,Ses01F_impro06_F003,neu,3,2,2.5,That's sweet.
36.07,38.04,Ses01F_impro06_F004,neu,3.5,2,3,Thank you.
39.6025,46.29,Ses01F_impro06_F005,sad,2,2,4,I went to see her headstone a week or two ago.
