,start_time,end_time,wav_file,emotion,val,act,dom,text,label
23,51.4,57.64,Ses01F_impro01_M007,fru,2.5,3.5,3,That's out of control.,1
24,58.18,62.59,Ses01F_impro01_M008,fru,2,3.5,3.5,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,1
25,65.51,73,Ses01F_impro01_M009,fru,2.5,3.5,4,How long have you been working here?,1
26,81.59,86.03,Ses01F_impro01_M010,fru,2,4.5,4,Actually too long.,1
27,87.15,94.39,Ses01F_impro01_M011,ang,2,4,4,"Clearly.  You know, do you have like a supervisor or something?",2
29,101.84,107.87,Ses01F_impro01_M013,ang,2,4.5,4.5,That would - I would appreciate that.  Yeah.,2
30,7.2688,16.6,Ses01F_impro02_F000,sad,2.5,2,1.5,Did you get the mail? So you saw my letter?,3
31,19.85,22.78,Ses01F_impro02_F001,sad,2,1.5,1.5,It's not fair.,3
32,26.5659,32.2895,Ses01F_impro02_F002,sad,2,1.5,1.5,Yeah.  I know.,3
33,32.3075,37.96,Ses01F_impro02_F003,neu,2,2,2,"I don't understand.  You've already done so much, I don't know why do you have to go back.",0
34,47.34,53.11,Ses01F_impro02_F004,sad,2.5,2,2.5,I don't know.  I put in that. request too. They didn't...,3
35,58.75,61.31,Ses01F_impro02_F005,sad,2,2,2.5,"I guess, you know, everybody has to make sacrifices.",3
36,64.255,68.47,Ses01F_impro02_F006,neu,2.5,2.5,2.5,"I don't know, it's just not fair.  I think you've already made your sacrifice.",0
38,87.2031,91.09,Ses01F_impro02_F008,sad,1.5,2,1.5,I just don't see how they can make you leave when you have a new baby - we have a new kid.,3
40,97.94,102.19,Ses01F_impro02_F010,sad,2,1.5,2,Then why is that fair?  Why--,3
42,117.83,120.8605,Ses01F_impro02_F012,sad,3.5,2,1.5,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,3
43,127.82,133.9455,Ses01F_impro02_F013,sad,1.5,2,2,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",3
44,139.03,146.43,Ses01F_impro02_F014,sad,1.5,2,2,I'm just trying to think of another way.  I'm just trying to...,3
45,151.4221,155.01,Ses01F_impro02_F015,sad,2,2.5,2.5,"Just, you know, kicking myself.",3
46,163.54,165.73,Ses01F_impro02_F016,neu,2,1,2.5,like you sign up because you need money and,0
47,169.36,176.015,Ses01F_impro02_F017,sad,3.5,3,2.5,things just aren't what they seem.,3
48,176.08,179.13,Ses01F_impro02_F018,neu,2.5,2.5,2.5,This is a stupid war.,0
49,182.83,185.8894,Ses01F_impro02_F019,sad,2.5,1.5,2,"We're doing the right thing, though.",3
50,186.58,191.11,Ses01F_impro02_F020,sad,4,2,2.5,I know.,3
52,21.76,27.5558,Ses01F_impro02_M001,sad,2,2.5,2.5,"If not me then, who?",3
54,52.71,59.0534,Ses01F_impro02_M003,fru,2,3,3,"You'll videotape everything, yeah?",1
56,69.34,74.29,Ses01F_impro02_M005,sad,2,3,1.5,"Maybe you can send it to me, like stream it, yeah?",3
59,110.5653,113.2,Ses01F_impro02_M008,fru,2.5,1.5,2,I just don't know how I'm going to do it without you.,1
60,114.1775,117.85,Ses01F_impro02_M009,sad,2,1.5,2.5,I have to find sitters.,3
61,120.4105,124.63,Ses01F_impro02_M010,sad,2,2,1.5,I can't raise a baby by myself.  How?,3
62,133.88,137.1,Ses01F_impro02_M011,sad,2.5,1.5,2.5,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",3
63,147.03,151.7101,Ses01F_impro02_M012,neu,2.5,2,2,I know.,0
64,157.98,162.71,Ses01F_impro02_M013,sad,1.5,2,2,And your mother is close by.,3
65,164.885,169.5,Ses01F_impro02_M014,sad,1.5,3,1.5,I'll send you lots of letters.,3
66,175.47,176.72,Ses01F_impro02_M015,neu,3,3,1.5,And I want lots and lots and lots of pictures.,0
67,195.1047,199.52,Ses01F_impro02_M016,fru,2,1.5,2.5,It's just not fair.,1
68,4.88,7.74,Ses01F_impro03_F000,hap,4.3333,2.6667,2.6667,So what's up?  What's new?,4
69,7.93,11.37,Ses01F_impro03_F001,hap,4,2.6667,2.6667,Well Vegas was awesome.,4
70,12.8,15.37,Ses01F_impro03_F002,hap,4.3333,3,2.3333,Yeah.  I heard.,4
72,21.75,25.52,Ses01F_impro03_F004,hap,4.6667,3.6667,2.3333,Shut up.  No- in Vegas?,4
73,25.5584,28.14,Ses01F_impro03_F005,hap,4.3333,4,2.3333,Yeah.  In the old town part.,4
74,28.37,34.71,Ses01F_impro03_F006,hap,4,3.3333,2.6667,Who did you marry?,4
76,40.12,42.79,Ses01F_impro03_F008,hap,4,3.3333,2.3333,Did you propose to you?,4
77,42.84,44.54,Ses01F_impro03_F009,hap,4,2.6667,2.3333,Um- Yes.  It was very romantic.,4
78,47.87,51.075,Ses01F_impro03_F010,hap,4,3.3333,3,It was at the slot machines.,4
80,55.865,58.15,Ses01F_impro03_F012,hap,4,3.6667,2.6667,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",4
81,60.73,65.86,Ses01F_impro03_F013,hap,5,4,3.3333,He turned to you and was like...,4
83,74.2675,78.8425,Ses01F_impro03_F015,exc,4.6667,3.6667,3,[LAUGHTER] That's really romantic.,5
84,79.035,81.0875,Ses01F_impro03_F016,hap,4,3,2.3333,"Yeah.  Well.  You know, because he's leaving the next day.",4
85,82.0975,85.08,Ses01F_impro03_F017,neu,3.6667,2.6667,2.3333,Yeah.,0
86,85.1,88.0225,Ses01F_impro03_F018,neu,3.6667,3,2,But we're going to have a honeymoon cruise.,0
87,88.08,89.5,Ses01F_impro03_F019,neu,3.6667,2.3333,2,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",0
89,92.75,98.21,Ses01F_impro03_F021,hap,3.3333,3.6667,2.6667,Yeah.  Think about that.,4
90,99.7775,102.03,Ses01F_impro03_F022,neu,3.3333,2.6667,2,"He's not going to be a citizen, though.",0
91,102.62,103.4625,Ses01F_impro03_F023,neu,3,2.3333,2,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,0
92,103.78,108.1825,Ses01F_impro03_F024,hap,4.3333,3,2.6667,Oh.  Totally.,4
93,110.23,114.16,Ses01F_impro03_F025,hap,4.3333,3.3333,3.3333,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",4
94,114.19,120.2,Ses01F_impro03_F026,hap,4.6667,4,3,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],4
95,3.24,5.46,Ses01F_impro03_M000,neu,4,3,2.6667,Like you need another one of those.[LAUGHTER],0
96,6.6,8.66,Ses01F_impro03_M001,neu,4.3333,2.6667,2.3333,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,0
98,14.93,18.9075,Ses01F_impro03_M003,exc,5,4.6667,3,"Yeah, so [LAUGHTER] He's calling me now",5
101,34.25,36.34,Ses01F_impro03_M006,neu,4,2.6667,2.3333,How much did he win at the slot?,0
102,37.7175,40.47,Ses01F_impro03_M007,hap,4,3,2.3333,"Uh, I think seven hundred and fifty dollars.",4
103,42.09,43.41,Ses01F_impro03_M008,neu,4,2.6667,2,Really? Penny slots?,0
104,44.16,49.07,Ses01F_impro03_M009,neu,3.6667,2.3333,2.3333,Penny slots. That's what he plays.,0
106,52.92,56.85,Ses01F_impro03_M011,neu,3.6667,3.6667,2.6667,Yeah.,0
108,65.6425,68.44,Ses01F_impro03_M013,hap,4.6667,4,3,Oh.,4
109,73.41,76.9975,Ses01F_impro03_M014,hap,4.3333,3.6667,2.6667,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,4
110,78.32,80.5,Ses01F_impro03_M015,hap,4,3,2.6667,"But the pennies always get you because you end up spending like, you know, fifty bucks.",4
111,80.7175,82.5225,Ses01F_impro03_M016,neu,3.6667,2.6667,2.6667,Fifty bucks. Mmhmm.,0
114,89.12,93.91,Ses01F_impro03_M019,neu,3,3,2.3333,Well so now we're married. We have cat children.,0
115,97.03,101.65,Ses01F_impro03_M020,neu,3.3333,3,2.6667,Awesome.,0
116,101.67,104.35,Ses01F_impro03_M021,neu,3,3.3333,2.6667,[LAUGHTER] Cat babies.,0
117,105.29,106.95,Ses01F_impro03_M022,exc,4,3.3333,2.6667,"We renamed Brenda, Lumber Janet.",5
118,107.71,111.4,Ses01F_impro03_M023,hap,4.6667,4.3333,3.6667,That's fair enough.,4
119,117.36,119.58,Ses01F_impro03_M024,neu,3.6667,2.6667,2.3333,She needs a new name each state that we go into. [LAUGHTER],0
120,7.2455,11.64,Ses01F_impro04_F000,neu,3,3,3,"Have you tried, uh, Craig's List?",0
121,11.7448,16.15,Ses01F_impro04_F001,neu,2.5,2.5,3,"Uh, what?  Craig's List?  Oh the internet thing?",0
122,18.6,30.8976,Ses01F_impro04_F002,fru,2.5,3.5,3,Yeah.,1
125,43.35,45.7596,Ses01F_impro04_F005,neu,3,2,2.5,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",0
126,46.2735,49.83,Ses01F_impro04_F006,neu,3,3.5,3.5,Uh huh.,0
127,50.11,54.31,Ses01F_impro04_F007,fru,3,3.5,4,I'm just saying I have a friend that got a good job on it so I was just recommending it.,1
129,58.71,60.0937,Ses01F_impro04_F009,neu,2.5,2.5,2.5,He's like a manager for a theatre.,0
133,76.49,80.7269,Ses01F_impro04_F013,neu,3,3.5,3.5,you know what?  I heard about that job.  I applied for that.,0
134,85.49,86.98,Ses01F_impro04_F014,neu,2.5,3,2.5,You did?,0
136,97.41,101.0475,Ses01F_impro04_F016,fru,2,4,3.5,Yeah.,1
137,102.78,105.415,Ses01F_impro04_F017,fru,2,4.5,4,He got it?,1
138,106.17,111.86,Ses01F_impro04_F018,fru,2,4.5,3.5,You've been looking for a job for a long time; that was a long time ago.  Right?,1
139,114.92,122.31,Ses01F_impro04_F019,fru,3,3.5,3,Yeah.,1
141,133.74,137.44,Ses01F_impro04_F021,fru,2,2,3,What did he do?  What was so great?  I don't understand why they would pick him over me.,1
142,138.13,139.89,Ses01F_impro04_F022,fru,2,2,2.5,I don't know.  He had a really good resume I guess and--,1
143,148.55,152.85,Ses01F_impro04_F023,fru,2,2.5,3,A resume?,1
144,153.18,155.2925,Ses01F_impro04_F024,fru,2.5,2.5,3.5,Yeah.  Do you have a resume?,1
145,157.1625,159.7,Ses01F_impro04_F025,fru,2.5,2.5,3,No.,1
146,161.0787,163.78,Ses01F_impro04_F026,fru,2.5,2,3.5,It's kind of helpful when getting a job.,1
147,164.3925,167.565,Ses01F_impro04_F027,fru,2.5,2,3,I just- I mean I call people up and I tell them what I'm good at.,1
148,170.83,172.84,Ses01F_impro04_F028,ang,2,3.5,3.5,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,2
149,175.27,178.43,Ses01F_impro04_F029,ang,1.5,4,4,Yeah.,2
150,180.3025,183.4875,Ses01F_impro04_F030,ang,1.5,3.5,4,I don't like- I don't like sending things in the mail.  I don't want my information out there.,2
151,184.47,188.87,Ses01F_impro04_F031,ang,1.5,3,3.5,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",2
152,189.12,192.02,Ses01F_impro04_F032,ang,2,3.5,3.5,I'm there in front of them.  I'm telling them what I'm good at.,2
153,193.5875,199.4325,Ses01F_impro04_F033,ang,1.5,3.5,4.5,"Yeah.  But the piece of paper helps, too.",2
154,2.7418,6.6575,Ses01F_impro04_M000,neu,3,2.5,2.5,Why?  It's a piece of paper.,0
155,10.46,12.13,Ses01F_impro04_M001,neu,3,2.5,2,"No.  But it has an outline, you know.",0
156,15.64,18.9,Ses01F_impro04_M002,neu,3,2.5,3,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",0
157,26.91,28.71,Ses01F_impro04_M003,neu,3,2.5,2.5,"I know.  Okay.  Well, um. Maybe--",0
158,30.88,35.5225,Ses01F_impro04_M004,neu,3,3,3,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",0
159,37.19,40.53,Ses01F_impro04_M005,neu,3,3,3,Yeah.,0
160,40.54,43.576,Ses01F_impro04_M006,neu,3,3.5,2.5,"Okay, yeah.  I would imagine.",0
161,49.39,50.58,Ses01F_impro04_M007,neu,3.5,3,2.5,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,0
162,55.21,56.33,Ses01F_impro04_M008,neu,3,3,2.5,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",0
163,56.35,59.0245,Ses01F_impro04_M009,neu,3,3,3,"That's baloney, that's baloney.",0
164,59.8,61.55,Ses01F_impro04_M010,neu,3,2.5,2,Please.,0
165,65.97,69.77,Ses01F_impro04_M011,neu,3,3,2.5,maybe get a car.,0
166,70.38,72.7264,Ses01F_impro04_M012,neu,3,3,2.5,"I just, you know, think you should try a little harder maybe.",0
167,73.7473,77.15,Ses01F_impro04_M013,neu,3,2,3,you think that you're better than me because I don't have a car?,0
168,80.1435,87.81,Ses01F_impro04_M014,neu,3.5,3.5,3.5,I didn't say that.,0
169,92.37,99.27,Ses01F_impro04_M015,neu,2.5,3.5,3,"You know, you're riding the bus, too.",0
170,100.485,103.47,Ses01F_impro04_M016,neu,3,2.5,2.5,"I am riding the bus, but by choice.",0
171,104.97,107.78,Ses01F_impro04_M017,neu,3,3.5,3,Why?  What choice?,0
172,111.66,117.725,Ses01F_impro04_M018,neu,3,3.5,3,"To save the environment, carpool.",0
173,118.46,119.77,Ses01F_impro04_M019,neu,3,2.5,2.5,You're saving the environment. mmhmm,0
174,121.5,123.42,Ses01F_impro04_M020,neu,3,2.5,2.5,Yes.  One less car at a time.,0
175,129.43,139.16,Ses01F_impro04_M021,neu,3.5,3.5,3,Interesting.  That's fantastic.,0
176,139.5219,141.8225,Ses01F_impro04_M022,neu,3,2.5,2.5,Mmhmm.,0
177,144.9125,149.51,Ses01F_impro04_M023,neu,2.5,2.5,2,"You know, you don't have to take out your frustration on me, you know, just because...",0
178,151.84,154.03,Ses01F_impro04_M024,neu,3,2.5,3,I'm not frustrated.,0
179,154.6,157.8,Ses01F_impro04_M025,neu,3,3.5,3.5,...you can't get a job and refuse to have a resume.,0
180,158.95,161.35,Ses01F_impro04_M026,neu,3.5,3,3,Who do you think you are?,0
181,162.12,164.7825,Ses01F_impro04_M027,neu,3.5,3.5,3.5,I don't think I'm anyone.,0
182,165.47,166.71,Ses01F_impro04_M028,neu,3,2.5,2,You are so high and mighty.  I just--,0
183,167.05,171.43,Ses01F_impro04_M029,fru,2.5,3.5,3.5,I- I-I didn't-- okay.,1
184,171.75,175.26,Ses01F_impro04_M030,fru,2.5,2.5,3,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,1
185,178.0033,180.865,Ses01F_impro04_M031,neu,3,2.5,2.5,What?  No.,0
186,182.82,185.54,Ses01F_impro04_M032,neu,2.5,2,1.5,What? Oh.  So now you're...,0
188,188.01,190.71,Ses01F_impro04_M034,fru,2.5,2,2,you know what?  You don't have to take your anger and your hurt out on me.,1
189,191.28,195.13,Ses01F_impro04_M035,fru,2,3.5,3,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,1
191,4.24,5.23,Ses01F_impro05_F000,fru,4,2,1.5,Hi.,1
192,5.26,7.16,Ses01F_impro05_F001,fru,2,2.5,2.5,Hi.  Thanks for waiting.,1
193,7.35,8.85,Ses01F_impro05_F002,fru,2.5,2.5,3.5,Yeah. This is the fourth line that I have been in.,1
194,9.2,13.02,Ses01F_impro05_F003,fru,2,3,3.5,Can I help you?,1
195,13.04,22.74,Ses01F_impro05_F004,fru,2,3.5,3.5,Uh huh.,1
196,25.35,26.76,Ses01F_impro05_F005,fru,2.5,3,3,I need my bag.,1
198,32.19,33.5,Ses01F_impro05_F007,fru,2.5,3,3.5,"I flew in over three hours ago, I've been in four different lines.",1
199,33.78,35.9,Ses01F_impro05_F008,ang,2.5,2.5,3.5,Okay.,2
200,36.71,44.03,Ses01F_impro05_F009,ang,2.5,2.5,3.5,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,2
202,73.87,75.5375,Ses01F_impro05_F011,ang,2,4.5,3.5,Nash.,2
203,75.61,80.73,Ses01F_impro05_F012,ang,2.5,3.5,3,Okay.,2
205,99.52,102.9,Ses01F_impro05_F014,ang,1.5,4,4,all right- okay.  And you lost your bag? Is that- that the issue?,2
206,103.005,118.5,Ses01F_impro05_F015,ang,1.5,4.5,4.5,Yes.,2
207,118.53,122.44,Ses01F_impro05_F016,ang,1.5,4.5,4,Flight seven fourteen.,2
208,127.485,136.85,Ses01F_impro05_F017,ang,1.5,5,4.5,Uh-huh.,2
209,137.715,140.11,Ses01F_impro05_F018,ang,1.5,4,4,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",2
210,140.225,145.6,Ses01F_impro05_F019,ang,1.5,4,4.5,"Yeah. Yeah, I don't see- I don't see any--",2
211,149.365,153.8,Ses01F_impro05_F020,ang,1.5,4.5,4.5,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",2
212,155.6,160.36,Ses01F_impro05_F021,ang,1.5,4.5,4.5,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",2
213,160.41,163.7975,Ses01F_impro05_F022,ang,1.5,4.5,4,"Oh, Are you kidding me?",2
214,163.88,165.8,Ses01F_impro05_F023,ang,2,3,4,"for such an inconvenience and your bag, but",2
215,166.33,167.71,Ses01F_impro05_F024,ang,2,3,4,Is this a joke?,2
216,171.09,174.2,Ses01F_impro05_F025,ang,1.5,4.5,4.5,Yeah.,2
217,177.6025,179.09,Ses01F_impro05_F026,ang,2,3.5,3.5,"No, no.",2
219,188.78,190.8975,Ses01F_impro05_F028,ang,2,3,4,"No, no.  This is real.",2
220,195.38,199.33,Ses01F_impro05_F029,ang,1.5,3,3.5,So you'll give me money and then I'll get my bag?,2
221,202.86,206.17,Ses01F_impro05_F030,ang,2,3,3.5,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",2
222,3.61,5.19,Ses01F_impro05_M000,neu,4,2.5,2,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,0
223,5.21,6.44,Ses01F_impro05_M001,hap,4,2.5,2,"You're kidding me, this is a joke.",4
224,6.6,7.71,Ses01F_impro05_M002,hap,4,2.5,2,"Once again, I'm really- I'm really sorry.",4
225,8.32,9.8,Ses01F_impro05_M003,neu,4,2.5,2,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,0
226,12.26,13.78,Ses01F_impro05_M004,neu,3.5,1.5,2,Yes.,0
227,21.84,25.9,Ses01F_impro05_M005,neu,3.5,2.5,2,I know.,0
228,25.99,27.7272,Ses01F_impro05_M006,neu,3.5,2.5,2,We flew in from Paris.  I've been shopping for three weeks.,0
229,28.29,34.1425,Ses01F_impro05_M007,neu,3.5,2.5,2,"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",0
230,34.7,36.52,Ses01F_impro05_M008,neu,3,2.5,2,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,0
231,36.91,42.76,Ses01F_impro05_M009,neu,2.5,2.5,2,Okay. Calm-,0
232,43.86,49.97,Ses01F_impro05_M010,neu,2.5,2.5,2,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",0
233,49.97,70.26,Ses01F_impro05_M011,neu,2.5,2.5,2,Do you understand who my husband is?,0
234,70.38,73.14,Ses01F_impro05_M012,neu,2.5,2,1.5,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",0
235,73.55,74.99,Ses01F_impro05_M013,neu,2.5,2,1.5,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",0
236,75.03,76.48,Ses01F_impro05_M014,neu,2.5,2.5,1.5,Oh-Oh.  It's a gift.  You're-You're helping me out here?,0
237,80.22,83.2425,Ses01F_impro05_M015,neu,2.5,2,1.5,It's a gift.,0
238,85.72,93.9575,Ses01F_impro05_M016,neu,2.5,2.5,2,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",0
239,94.005,100.4,Ses01F_impro05_M017,neu,2.5,2.5,2.5,You are cruising for a bruising.  You are in so much trouble.,0
241,111.28,112.81,Ses01F_impro05_M019,neu,2.5,2,2,Who's in charge?  Who is the president of Jet Blue?,0
242,118.04,119.37,Ses01F_impro05_M020,neu,2.5,2,2,"Um, actually, I don't know. I don't know. Oh really?",0
244,131.02,133.25,Ses01F_impro05_M022,neu,2.5,2,2,Yeah.,0
245,136.19,143.5,Ses01F_impro05_M023,neu,2.5,3.5,2.5,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,0
246,144.85,151.16,Ses01F_impro05_M024,neu,2.5,3,2.5,"I don't want money, I want my clothes.",0
247,151.335,152.71,Ses01F_impro05_M025,neu,2.5,2.5,2,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",0
248,152.8325,158.58,Ses01F_impro05_M026,neu,2.5,2.5,2.5,What's your name?,0
249,159.66,161.37,Ses01F_impro05_M027,neu,2.5,2.5,2,Oh.  My name is Sean. Hi.,0
250,163.25,166.99,Ses01F_impro05_M028,neu,2.5,2.5,2,Sean.  Great. Do you have a badge number or something?,0
251,167.15,173.63,Ses01F_impro05_M029,neu,2.5,2.5,2.5,"Badge number?  Uh, no.  You can just take my employee number I guess.",0
252,173.7325,178.2625,Ses01F_impro05_M030,neu,3,2.5,2,Okay.  I'll do that.,0
253,178.59,180.87,Ses01F_impro05_M031,neu,3,2.5,2.5,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,0
256,198.66,205.17,Ses01F_impro05_M034,neu,2.5,2.5,2.5,A letter? I'll make a personal phone call.,0
257,205.63,211.94,Ses01F_impro05_M035,neu,2.5,2,1.5,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",0
260,26.07,27.65,Ses01F_impro06_F002,sad,2,1.5,2.5,Is there anything I can get you?  Do you want me to take care of anything for you or...?,3
261,34.45,35.78,Ses01F_impro06_F003,neu,3,2,2.5,"No, no, no.",0
262,36.07,38.04,Ses01F_impro06_F004,neu,3.5,2,3,...pick up anything?,0
263,39.6025,46.29,Ses01F_impro06_F005,sad,2,2,4,No.,3
264,47.34,59.38,Ses01F_impro06_F006,sad,3.5,3,4,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,3
265,59.4525,67.4525,Ses01F_impro06_F007,sad,3.5,3,4,That's sweet.,3
266,70.22,80.13,Ses01F_impro06_F008,sad,2.5,3.5,3.5,Thank you.,3
267,80.16,87.74,Ses01F_impro06_F009,neu,2.5,3,3.5,I went to see her headstone a week or two ago.,0
268,87.83,93.67,Ses01F_impro06_F010,sad,2,2.5,3.5,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",3
269,101.83,116.91,Ses01F_impro06_F011,sad,2,3,4,Hmm.,3
270,117.07,126.04,Ses01F_impro06_F012,sad,2,3.5,4.5,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,3
271,132.9575,134.49,Ses01F_impro06_F013,sad,2,2,2,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,3
272,135.96,137.95,Ses01F_impro06_F014,sad,3,3,2.5,"this woman came up and, you know, it was hers. It was her person that was there.",3
273,138.0685,141.05,Ses01F_impro06_F015,sad,2,2,2.5,Oh.  She was there?,3
274,141.84,149.4375,Ses01F_impro06_F016,neu,4,3,3.5,"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",0
276,167.64,174.84,Ses01F_impro06_F018,neu,4,3,3.5,Mmhmm.,0
277,176.35,178.01,Ses01F_impro06_F019,neu,2.5,2,2.5,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",0
278,182.56,197.73,Ses01F_impro06_F020,sad,2.5,3,4,Yeah.,3
279,197.755,214.34,Ses01F_impro06_F021,sad,2,3,4,I don't know.,3
280,217.5,222.41,Ses01F_impro06_F022,sad,4,3,3.5,How long were you there for?,3
281,223.52,227.55,Ses01F_impro06_F023,sad,2.5,2,2.5,At the cemetery?,3
282,229.08,235.98,Ses01F_impro06_F024,sad,1.5,2,3,Mmhmm.,3
283,237.53,256.48,Ses01F_impro06_F025,sad,3,3.5,4.5,couple hours.,3
284,266.55,275.31,Ses01F_impro06_F026,sad,3,3,3.5,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",3
285,275.38,281.6,Ses01F_impro06_F027,neu,2,2,3.5,Oh really?,0
286,282.01,311.14,Ses01F_impro06_F028,sad,3,3.5,4,You ran through the sprinklers in the cemetery?,3
287,11.46,14.74,Ses01F_impro06_M000,sad,2.5,2,3,It was hot.,3
288,18.49,24.91,Ses01F_impro06_M001,neu,2.5,3,3.5,Is it a big cemetery?,0
